kiln,time,weight,hour,moisture_loss
Fabricated,t0,143,0,0.0
Fabricated,t0,152,0,-6.293706293706294
Fabricated,t0,155,0,-8.391608391608392
Fabricated,t0,162,0,-13.286713286713287
Fabricated,t0,167,0,-16.783216783216783
Fabricated,t0,169,0,-18.181818181818183
Fabricated,t0,175,0,-22.377622377622377
Fabricated,t0,177,0,-23.776223776223777
Fabricated,t0,180,0,-25.874125874125873
Fabricated,t0,186,0,-30.069930069930066
Fabricated,t0,211,0,-47.55244755244755
Fabricated,t0,216,0,-51.048951048951054
Fabricated,t0,219,0,-53.14685314685315
Fabricated,t1,79,1,44.75524475524475
Fabricated,t1,87,1,39.16083916083916
Fabricated,t1,92,1,35.66433566433567
Fabricated,t1,96,1,32.86713286713287
Fabricated,t1,99,1,30.76923076923077
Fabricated,t1,121,1,15.384615384615385
Fabricated,t1,124,1,13.286713286713287
Fabricated,t1,134,1,6.293706293706294
Fabricated,t1,155,1,-8.391608391608392
Fabricated,t1,165,1,-15.384615384615385
Fabricated,t1,169,1,-18.181818181818183
Fabricated,t1,178,1,-24.475524475524477
Fabricated,t1,187,1,-30.76923076923077
Fabricated,t2,26,2,81.81818181818183
Fabricated,t2,32,2,77.62237762237763
Fabricated,t2,39,2,72.72727272727273
Fabricated,t2,43,2,69.93006993006993
Fabricated,t2,46,2,67.83216783216784
Fabricated,t2,66,2,53.84615384615385
Fabricated,t2,71,2,50.349650349650354
Fabricated,t2,81,2,43.35664335664335
Fabricated,t2,103,2,27.972027972027973
Fabricated,t2,112,2,21.678321678321677
Fabricated,t2,120,2,16.083916083916083
Fabricated,t2,124,2,13.286713286713287
Fabricated,t2,135,2,5.594405594405594
Local,t0,115,0,0.0
Local,t0,120,0,-4.3478260869565215
Local,t0,132,0,-14.782608695652174
Local,t0,151,0,-31.30434782608696
Local,t0,182,0,-58.26086956521739
Local,t0,188,0,-63.47826086956522
Local,t0,191,0,-66.08695652173913
Local,t0,214,0,-86.08695652173914
Local,t0,224,0,-94.78260869565217
Local,t0,266,0,-131.30434782608694
Local,t0,268,0,-133.04347826086956
Local,t0,277,0,-140.8695652173913
Local,t0,333,0,-189.56521739130434
Local,t1,99,1,13.91304347826087
Local,t1,101,1,12.173913043478262
Local,t1,107,1,6.956521739130435
Local,t1,109,1,5.217391304347826
Local,t1,112,1,2.608695652173913
Local,t1,117,1,-1.7391304347826086
Local,t1,120,1,-4.3478260869565215
Local,t1,121,1,-5.217391304347826
Local,t1,122,1,-6.086956521739131
Local,t1,128,1,-11.304347826086957
Local,t1,139,1,-20.869565217391305
Local,t1,157,1,-36.52173913043478
Local,t1,215,1,-86.95652173913044
Local,t2,51,2,55.65217391304348
Local,t2,55,2,52.17391304347826
Local,t2,57,2,50.43478260869565
Local,t2,58,2,49.56521739130435
Local,t2,67,2,41.73913043478261
Local,t2,68,2,40.869565217391305
Local,t2,71,2,38.26086956521739
Local,t2,75,2,34.78260869565217
Local,t2,77,2,33.04347826086956
Local,t2,78,2,32.17391304347826
Local,t2,88,2,23.47826086956522
Local,t2,112,2,2.608695652173913
Local,t2,153,2,-33.04347826086956
Local,t3,32,3,72.17391304347827
Local,t3,34,3,70.43478260869566
Local,t3,38,3,66.95652173913044
Local,t3,42,3,63.47826086956522
Local,t3,45,3,60.86956521739131
Local,t3,51,3,55.65217391304348
Local,t3,57,3,50.43478260869565
Local,t3,62,3,46.08695652173913
Local,t3,65,3,43.47826086956522
Local,t3,71,3,38.26086956521739
Local,t3,77,3,33.04347826086956
Local,t3,99,3,13.91304347826087
Local,t3,125,3,-8.695652173913043
